Dato,Min,Maks,AVG,Nedbør
17 sep,8.90,10.70,9.50,36.40
18 sep,8.40,11.20,9.10,14.20
19 sep,7.40,10.00,8.30,2.20
20 sep,4.80,10.10,7.00,1.10
21 sep,2.50,9.60,6.50,0.00
22 sep,5.20,12.20,9.10,0.00
23 sep,8.90,11.80,9.70,1.40
24 sep,4.50,10.90,7.90,8.80
25 sep,2.60,13.30,8.20,0.00
26 sep,7.40,12.70,10.30,2.50
27 sep,9.00,13.90,11.20,0.10
28 sep,5.80,15.10,10.40,0.00
29 sep,3.40,10.70,7.60,0.00
30 sep,5.80,14.10,8.70,0.40
1 okt,8.30,13.10,10.90,0.00
2 okt,7.70,11.70,9.20,0.70
3 okt,6.40,10.60,8.40,2.00
4 okt,6.80,12.60,9.40,3.70
5 okt,5.30,12.00,8.20,21.20
6 okt,3.70,10.10,7.30,2.10
7 okt,3.00,10.60,7.00,7.40
8 okt,4.50,7.40,5.40,6.50
9 okt,4.00,9.70,7.20,17.30
10 okt,7.80,14.00,10.70,0.20
11 okt,3.40,8.70,4.60,1.10
12 okt,2.10,7.80,5.70,9.60
13 okt,3.30,7.50,5.50,6.20
14 okt,0.00,9.10,3.70,6.00
15 okt,1.80,8.00,4.70,4.20
16 okt,0.70,8.30,4.10,0.60
