time,x,y,v_x,v_y
0,0,10,20,20
0.2,1,13.8038,20,18.038
0.4,2,17.2152,20,16.076
0.6,3,20.2342,20,14.114
0.8,4,22.8608,20,12.152
1,5,25.095,20,10.19
1.2,6,26.9368,20,8.228
1.4,7,28.3862,20,6.266
1.6,8,29.4432,20,4.304
1.8,9,30.1078,20,2.342
2,10,30.38,20,0.38
2.2,11,30.2598,20,-1.582
2.4,12,29.7472,20,-3.544
2.6,13,28.8422,20,-5.506
2.8,14,27.5448,20,-7.468
3,15,25.855,20,-9.43
3.2,16,23.7728,20,-11.392
3.4,17,21.2982,20,-13.354
3.6,18,18.4312,20,-15.316
3.8,19,15.1718,20,-17.278
4,20,11.52,20,-19.24
4.2,21,7.4758,20,-21.202
4.4,22,3.0392,20,-23.164
4.6,23,-1.7898,20,-25.126
