Dato Min Maks AVG Nedbør differanse
17 sep 8.9 10.7 9.5 36.4 1.799999999999999
18 sep 8.4 11.2 9.1 14.2 2.799999999999999
19 sep 7.4 10.0 8.3 2.2 2.5999999999999996
20 sep 4.8 10.1 7.0 1.1 5.3
21 sep 2.5 9.6 6.5 0.0 7.1
22 sep 5.2 12.2 9.1 0.0 6.999999999999999
23 sep 8.9 11.8 9.7 1.4 2.9000000000000004
24 sep 4.5 10.9 7.9 8.8 6.4
25 sep 2.6 13.3 8.2 0.0 10.700000000000001
26 sep 7.4 12.7 10.3 2.5 5.299999999999999
27 sep 9.0 13.9 11.2 0.1 4.9
28 sep 5.8 15.1 10.4 0.0 9.3
29 sep 3.4 10.7 7.6 0.0 7.299999999999999
30 sep 5.8 14.1 8.7 0.4 8.3
1 okt 8.3 13.1 10.9 0.0 4.799999999999999
2 okt 7.7 11.7 9.2 0.7 3.999999999999999
3 okt 6.4 10.6 8.4 2.0 4.199999999999999
4 okt 6.8 12.6 9.4 3.7 5.8
5 okt 5.3 12.0 8.2 21.2 6.7
6 okt 3.7 10.1 7.3 2.1 6.3999999999999995
7 okt 3.0 10.6 7.0 7.4 7.6
8 okt 4.5 7.4 5.4 6.5 2.9000000000000004
9 okt 4.0 9.7 7.2 17.3 5.699999999999999
10 okt 7.8 14.0 10.7 0.2 6.2
11 okt 3.4 8.7 4.6 1.1 5.299999999999999
12 okt 2.1 7.8 5.7 9.6 5.699999999999999
13 okt 3.3 7.5 5.5 6.2 4.2
14 okt 0.0 9.1 3.7 6.0 9.1
15 okt 1.8 8.0 4.7 4.2 6.2
16 okt 0.7 8.3 4.1 0.6 7.6000000000000005
